Municipio;Procedimentos_hospitalares_ARTICULACOES;Procedimentos_hospitalares_ORTOPEDICAS
110020 PORTO VELHO;1.0;1.0
130260 MANAUS;2.0;
150080 ANANINDEUA;1.0;
150420 MARABA;21.0;
150442 MARITUBA;1.0;
150680 SANTAREM;1.0;
160030 MACAPA;2.0;
171320 MIRACEMA DO TOCANTINS;1.0;
210300 CAXIAS;1.0;
211130 SAO LUIS;9.0;3.0
220220 CAMPO MAIOR;1.0;
221100 TERESINA;2.0;284.0
230440 FORTALEZA;6.0;7.0
240810 NATAL;1.0;
250400 CAMPINA GRANDE;1.0;
250750 JOAO PESSOA;1.0;
251080 PATOS;1.0;
251140 PICUI;1.0;
260290 CABO DE SANTO AGOSTINHO;1.0;
260410 CARUARU;6.0;
260790 JABOATAO DOS GUARARAPES;3.0;
261070 PAULISTA;17.0;5.0
261110 PETROLINA;2.0;2.0
261160 RECIFE;23.0;148.0
261640 VITORIA DE SANTO ANTAO;3.0;
270430 MACEIO;1.0;1.0
280030 ARACAJU;10.0;
291080 FEIRA DE SANTANA;3.0;
291360 ILHEUS;4.0;
292530 PORTO SEGURO;1.0;
292740 SALVADOR;4.0;21.0
293330 VITORIA DA CONQUISTA;1.0;76.0
310160 ALFENAS;5.0;33.0
310260 ANDRADAS;1.0;
310620 BELO HORIZONTE;56.0;1108.0
310670 BETIM;1.0;
311830 CONSELHEIRO LAFAIETE;2.0;
312090 CURVELO;3.0;
312160 DIAMANTINA;1.0;
312670 FRANCISCO SA;1.0;
312770 GOVERNADOR VALADARES;2.0;
312870 GUAXUPE;1.0;
313220 ITAGUARA;1.0;
313240 ITAJUBA;2.0;
313330 ITAOBIM;16.0;
313380 ITAUNA;1.0;
313420 ITUIUTABA;1.0;
313620 JOAO MONLEVADE;1.0;
313670 JUIZ DE FORA;7.0;27.0
313840 LEOPOLDINA;1.0;
313860 LIMA DUARTE;1.0;
313950 MANHUMIRIM;1.0;
314310 MONTE CARMELO;2.0;
314330 MONTES CLAROS;3.0;155.0
314390 MURIAE;1.0;
314610 OURO PRETO;3.0;
314710 PARA DE MINAS;1.0;
314790 PASSOS;3.0;5.0
314800 PATOS DE MINAS;2.0;
315180 POCOS DE CALDAS;3.0;
316370 SAO LOURENCO;1.0;
316800 TAIOBEIRAS;1.0;
316860 TEOFILO OTONI;7.0;
316930 TRES CORACOES;1.0;
316940 TRES PONTAS;1.0;
316990 UBA;1.0;
317010 UBERABA;11.0;6.0
317020 UBERLANDIA;11.0;82.0
320490 SAO MATEUS;1.0;
320500 SERRA;2.0;84.0
320530 VITORIA;5.0;129.0
330010 ANGRA DOS REIS;1.0;
330015 APERIBE;1.0;
330020 ARARUAMA;2.0;
330040 BARRA MANSA;1.0;
330170 DUQUE DE CAXIAS;1.0;
330290 MIGUEL PEREIRA;13.0;
330340 NOVA FRIBURGO;1.0;
330350 NOVA IGUACU;2.0;
330390 PETROPOLIS;1.0;140.0
330455 RIO DE JANEIRO;30.0;49.0
330490 SAO GONCALO;1.0;
330580 TERESOPOLIS;4.0;3.0
330600 TRES RIOS;1.0;3.0
330620 VASSOURAS;1.0;
330630 VOLTA REDONDA;1.0;
350160 AMERICANA;2.0;
350280 ARACATUBA;2.0;131.0
350550 BARRETOS;1.0;22.0
350570 BARUERI;1.0;
350590 BATATAIS;1.0;
350600 BAURU;5.0;150.0
350650 BIRIGUI;1.0;
350760 BRAGANCA PAULISTA;1.0;19.0
350850 CACAPAVA;1.0;
350950 CAMPINAS;15.0;113.0
351110 CATANDUVA;1.0;2.0
351340 CRUZEIRO;1.0;
351410 DOIS CORREGOS;1.0;
351620 FRANCA;3.0;75.0
351740 GUAIRA;1.0;
351840 GUARATINGUETA;1.0;
351880 GUARULHOS;4.0;31.0
352220 ITAPECERICA DA SERRA;3.0;
352440 JACAREI;1.0;
352530 JAU;1.0;12.0
352590 JUNDIAI;4.0;123.0
352690 LIMEIRA;5.0;72.0
352900 MARILIA;3.0;38.0
352930 MATAO;2.0;
353060 MOGI DAS CRUZES;7.0;
353440 OSASCO;6.0;
353650 PAULINIA;1.0;
353870 PIRACICABA;6.0;77.0
353950 PITANGUEIRAS;1.0;
354140 PRESIDENTE PRUDENTE;8.0;
354340 RIBEIRAO PRETO;12.0;144.0
354390 RIO CLARO;2.0;5.0
354640 SANTA CRUZ DO RIO PARDO;1.0;
354780 SANTO ANDRE;7.0;1.0
354850 SANTOS;1.0;30.0
354870 SAO BERNARDO DO CAMPO;2.0;9.0
354880 SAO CAETANO DO SUL;1.0;8.0
354890 SAO CARLOS;2.0;
354910 SAO JOAO DA BOA VISTA;2.0;1.0
354970 SAO JOSE DO RIO PARDO;1.0;
354980 SAO JOSE DO RIO PRETO;16.0;113.0
354990 SAO JOSE DOS CAMPOS;2.0;19.0
355030 SAO PAULO;59.0;503.0
355220 SOROCABA;3.0;553.0
355240 SUMARE;3.0;48.0
355280 TABOAO DA SERRA;1.0;
355410 TAUBATE;1.0;123.0
355500 TUPA;1.0;
410140 APUCARANA;1.0;3.0
410400 CAMPINA GRANDE DO SUL;8.0;10.0
410420 CAMPO LARGO;1.0;99.0
410430 CAMPO MOURAO;2.0;8.0
410480 CASCAVEL;2.0;
410690 CURITIBA;9.0;1272.0
410830 FOZ DO IGUACU;2.0;
410840 FRANCISCO BELTRAO;4.0;43.0
411370 LONDRINA;17.0;102.0
411420 MANDAGUARI;3.0;
411580 MEDIANEIRA;1.0;14.0
411760 PALMAS;1.0;
411850 PATO BRANCO;2.0;
411990 PONTA GROSSA;7.0;56.0
412060 PRUDENTOPOLIS;2.0;
412770 TOLEDO;2.0;
420140 ARARANGUA;1.0;2.0
420240 BLUMENAU;4.0;213.0
420380 CANOINHAS;1.0;
420420 CHAPECO;1.0;171.0
420430 CONCORDIA;4.0;63.0
420460 CRICIUMA;1.0;66.0
420540 FLORIANOPOLIS;5.0;215.0
420700 ICARA;1.0;37.0
420820 ITAJAI;2.0;211.0
420890 JARAGUA DO SUL;2.0;6.0
420910 JOINVILLE;7.0;223.0
420930 LAGES;1.0;
421360 PORTO UNIAO;1.0;2.0
421570 SANTO AMARO DA IMPERATRIZ;4.0;84.0
421660 SAO JOSE;5.0;73.0
421930 VIDEIRA;1.0;
430040 ALEGRETE;1.0;
430460 CANOAS;5.0;354.0
430510 CAXIAS DO SUL;13.0;5.0
430700 ERECHIM;1.0;
430920 GRAVATAI;4.0;
431010 IGREJINHA;1.0;
431140 LAJEADO;1.0;13.0
431180 MARAU;1.0;
431340 NOVO HAMBURGO;1.0;
431410 PASSO FUNDO;3.0;435.0
431440 PELOTAS;2.0;
431490 PORTO ALEGRE;28.0;139.0
431560 RIO GRANDE;2.0;
431610 RONDA ALTA;1.0;
431680 SANTA CRUZ DO SUL;3.0;45.0
431690 SANTA MARIA;3.0;1.0
431750 SANTO ANGELO;2.0;3.0
431800 SAO BORJA;1.0;
431870 SAO LEOPOLDO;1.0;
432180 TRES DE MAIO;1.0;
432240 URUGUAIANA;10.0;3.0
500110 AQUIDAUANA;2.0;
500270 CAMPO GRANDE;2.0;17.0
500370 DOURADOS;1.0;
510250 CACERES;1.0;
510340 CUIABA;2.0;6.0
510760 RONDONOPOLIS;1.0;
510790 SINOP;2.0;
520110 ANAPOLIS;2.0;66.0
520870 GOIANIA;5.0;546.0
522045 SENADOR CANEDO;1.0;4.0
522160 URUACU;3.0;
530010 BRASILIA;9.0;17.0
Total;787.0;11646.0
110004 CACOAL;;3.0
120040 RIO BRANCO;;1.0
230190 BARBALHA;;5.0
231330 TAUA;;1.0
240800 MOSSORO;;3.0
270030 ARAPIRACA;;1.0
290460 BRUMADO;;7.0
291072 EUNAPOLIS;;1.0
310400 ARAXA;;4.0
310860 BRASILIA DE MINAS;;1.0
311340 CARATINGA;;4.0
311800 CONGONHAS;;4.0
312230 DIVINOPOLIS;;60.0
312610 FORMIGA;;2.0
313510 JANAUBA;;1.0
315210 PONTE NOVA;;4.0
315250 POUSO ALEGRE;;8.0
320460 SANTA TERESA;;23.0
320520 VILA VELHA;;47.0
330070 CABO FRIO;;2.0
330100 CAMPOS DOS GOYTACAZES;;7.0
330220 ITAPERUNA;;9.0
330330 NITEROI;;21.0
330370 PARAIBA DO SUL;;41.0
350330 ARARAS;;1.0
350400 ASSIS;;5.0
350610 BEBEDOURO;;3.0
350750 BOTUCATU;;139.0
350790 BROTAS;;1.0
352010 IGARAPAVA;;4.0
352210 ITANHAEM;;17.0
352310 ITAQUAQUECETUBA;;1.0
352940 MAUA;;1.0
353070 MOGI GUACU;;9.0
353350 NOVO HORIZONTE;;2.0
353800 PINDAMONHANGABA;;4.0
354160 PROMISSAO;;1.0
354940 SAO JOAQUIM DA BARRA;;9.0
355250 SUZANO;;16.0
410150 ARAPONGAS;;322.0
410210 ASTORGA;;3.0
410880 GUAIRA;;1.0
411150 IVAIPORA;;2.0
411520 MARINGA;;198.0
412810 UMUARAMA;;53.0
420090 ANGELINA;;41.0
420200 BALNEARIO CAMBORIU;;40.0
420280 BRACO DO NORTE;;3.0
420290 BRUSQUE;;31.0
420320 CAMBORIU;;69.0
420360 CAMPOS NOVOS;;7.0
420440 CORONEL FREITAS;;104.0
420470 CUNHA PORA;;21.0
420640 GUARACIABA;;1.0
420690 IBIRAMA;;1.0
420750 INDAIAL;;22.0
420765 IPORA DO OESTE;;19.0
420850 ITUPORANGA;;1.0
420900 JOACABA;;6.0
421010 MAFRA;;9.0
421080 MELEIRO;;3.0
421130 NAVEGANTES;;7.0
421150 NOVA TRENTO;;83.0
421250 PENHA;;363.0
421320 POMERODE;;1.0
421400 PRESIDENTE GETULIO;;2.0
421420 QUILOMBO;;2.0
421480 RIO DO SUL;;28.0
421580 SAO BENTO DO SUL;;2.0
421600 SAO CARLOS;;1.0
421630 SAO JOAO BATISTA;;1.0
421720 SAO MIGUEL DO OESTE;;19.0
421730 SAUDADES;;35.0
421870 TUBARAO;;77.0
421950 XANXERE;;18.0
421970 XAXIM;;4.0
430210 BENTO GONCALVES;;50.0
430300 CACHOEIRA DO SUL;;2.0
430480 CARLOS BARBOSA;;2.0
430610 CRUZ ALTA;;59.0
430680 ENCANTADO;;2.0
430780 ESTRELA;;1.0
431405 PAROBE;;1.0
431720 SANTA ROSA;;6.0
432150 TORRES;;2.0
500325 COSTA RICA;;4.0
510025 ALTA FLORESTA;;1.0
510525 LUCAS DO RIO VERDE;;19.0
510787 SAPEZAL;;2.0
520140 APARECIDA DE GOIANIA;;1.0
 ;;
