Nome;Codigo;ARTICULACOES;AVC;CONDICOESNAUROLOGICAS;DOENCASCRONICAS;ORTOPEDICAS
PORTO VELHO;110020;1.0;382.0;7.0;17.0;1.0
MANAUS;130260;2.0;1377.0;89.0;15.0;
ANANINDEUA;150080;1.0;213.0;;1.0;
MARABA;150420;21.0;79.0;;9.0;
MARITUBA;150442;1.0;30.0;;1.0;
SANTAREM;150680;1.0;149.0;1.0;7.0;
MACAPA;160030;2.0;318.0;2.0;2.0;
MIRACEMA DO TOCANTINS;171320;1.0;23.0;;;
CAXIAS;210300;1.0;236.0;;4.0;
SAO LUIS;211130;9.0;1023.0;43.0;25.0;3.0
CAMPO MAIOR;220220;1.0;61.0;;;
TERESINA;221100;2.0;1130.0;10.0;12.0;284.0
FORTALEZA;230440;6.0;3471.0;84.0;62.0;7.0
NATAL;240810;1.0;1226.0;32.0;12.0;
CAMPINA GRANDE;250400;1.0;1142.0;3.0;4.0;
JOAO PESSOA;250750;1.0;1160.0;5.0;40.0;
PATOS;251080;1.0;448.0;;;
PICUI;251140;1.0;28.0;;;
CABO DE SANTO AGOSTINHO;260290;1.0;80.0;;3.0;
CARUARU;260410;6.0;207.0;;5.0;
JABOATAO DOS GUARARAPES;260790;3.0;58.0;;2.0;
PAULISTA;261070;17.0;32.0;;20.0;5.0
PETROLINA;261110;2.0;327.0;3.0;1.0;2.0
RECIFE;261160;23.0;6378.0;48.0;65.0;148.0
VITORIA DE SANTO ANTAO;261640;3.0;182.0;;1.0;
MACEIO;270430;1.0;2062.0;21.0;8.0;1.0
ARACAJU;280030;10.0;600.0;7.0;21.0;
FEIRA DE SANTANA;291080;3.0;613.0;;4.0;
ILHEUS;291360;4.0;329.0;2.0;1.0;
PORTO SEGURO;292530;1.0;113.0;;;
SALVADOR;292740;4.0;2240.0;42.0;110.0;21.0
VITORIA DA CONQUISTA;293330;1.0;478.0;2.0;7.0;76.0
ALFENAS;310160;5.0;211.0;5.0;2.0;33.0
ANDRADAS;310260;1.0;38.0;1.0;;
BELO HORIZONTE;310620;56.0;2103.0;102.0;81.0;1108.0
BETIM;310670;1.0;209.0;3.0;9.0;
CONSELHEIRO LAFAIETE;311830;2.0;180.0;1.0;2.0;
CURVELO;312090;3.0;232.0;3.0;5.0;
DIAMANTINA;312160;1.0;339.0;3.0;2.0;
FRANCISCO SA;312670;1.0;23.0;;1.0;
GOVERNADOR VALADARES;312770;2.0;467.0;5.0;2.0;
GUAXUPE;312870;1.0;92.0;;2.0;
ITAGUARA;313220;1.0;14.0;;;
ITAJUBA;313240;2.0;303.0;2.0;1.0;
ITAOBIM;313330;16.0;57.0;;1.0;
ITAUNA;313380;1.0;87.0;3.0;;
ITUIUTABA;313420;1.0;131.0;;1.0;
JOAO MONLEVADE;313620;1.0;100.0;2.0;1.0;
JUIZ DE FORA;313670;7.0;769.0;30.0;28.0;27.0
LEOPOLDINA;313840;1.0;114.0;;1.0;
LIMA DUARTE;313860;1.0;42.0;;;
MANHUMIRIM;313950;1.0;124.0;;1.0;
MONTE CARMELO;314310;2.0;30.0;;;
MONTES CLAROS;314330;3.0;687.0;7.0;12.0;155.0
MURIAE;314390;1.0;315.0;3.0;;
OURO PRETO;314610;3.0;90.0;;1.0;
PARA DE MINAS;314710;1.0;184.0;;4.0;
PASSOS;314790;3.0;270.0;9.0;1.0;5.0
PATOS DE MINAS;314800;2.0;287.0;4.0;3.0;
POCOS DE CALDAS;315180;3.0;165.0;5.0;1.0;
SAO LOURENCO;316370;1.0;80.0;1.0;1.0;
TAIOBEIRAS;316800;1.0;113.0;;1.0;
TEOFILO OTONI;316860;7.0;191.0;4.0;2.0;
TRES CORACOES;316930;1.0;114.0;3.0;;
TRES PONTAS;316940;1.0;82.0;;4.0;
UBA;316990;1.0;317.0;;5.0;
UBERABA;317010;11.0;346.0;7.0;4.0;6.0
UBERLANDIA;317020;11.0;516.0;12.0;4.0;82.0
SAO MATEUS;320490;1.0;168.0;;13.0;
SERRA;320500;2.0;469.0;2.0;3.0;84.0
VITORIA;320530;5.0;867.0;4.0;27.0;129.0
ANGRA DOS REIS;330010;1.0;101.0;;4.0;
APERIBE;330015;1.0;32.0;;2.0;
ARARUAMA;330020;2.0;131.0;2.0;;
BARRA MANSA;330040;1.0;267.0;4.0;;
DUQUE DE CAXIAS;330170;1.0;458.0;;2.0;
MIGUEL PEREIRA;330290;13.0;156.0;1.0;;
NOVA FRIBURGO;330340;1.0;268.0;9.0;;
NOVA IGUACU;330350;2.0;377.0;;;
PETROPOLIS;330390;1.0;369.0;;;140.0
RIO DE JANEIRO;330455;30.0;3572.0;129.0;124.0;49.0
SAO GONCALO;330490;1.0;1299.0;2.0;2.0;
TERESOPOLIS;330580;4.0;176.0;12.0;7.0;3.0
TRES RIOS;330600;1.0;152.0;;;3.0
VASSOURAS;330620;1.0;74.0;1.0;;
VOLTA REDONDA;330630;1.0;388.0;6.0;9.0;
AMERICANA;350160;2.0;153.0;1.0;1.0;
ARACATUBA;350280;2.0;359.0;15.0;1.0;131.0
BARRETOS;350550;1.0;282.0;8.0;5.0;22.0
BARUERI;350570;1.0;363.0;5.0;17.0;
BATATAIS;350590;1.0;111.0;8.0;;
BAURU;350600;5.0;478.0;1.0;9.0;150.0
BIRIGUI;350650;1.0;176.0;;;
BRAGANCA PAULISTA;350760;1.0;153.0;;2.0;19.0
CACAPAVA;350850;1.0;46.0;;;
CAMPINAS;350950;15.0;716.0;19.0;35.0;113.0
CATANDUVA;351110;1.0;467.0;10.0;1.0;2.0
CRUZEIRO;351340;1.0;144.0;;;
DOIS CORREGOS;351410;1.0;17.0;;;
FRANCA;351620;3.0;465.0;;9.0;75.0
GUAIRA;351740;1.0;4.0;;6.0;
GUARATINGUETA;351840;1.0;249.0;1.0;;
GUARULHOS;351880;4.0;1091.0;1.0;12.0;31.0
ITAPECERICA DA SERRA;352220;3.0;244.0;;7.0;
JACAREI;352440;1.0;346.0;2.0;4.0;
JAU;352530;1.0;269.0;;4.0;12.0
JUNDIAI;352590;4.0;481.0;4.0;25.0;123.0
LIMEIRA;352690;5.0;138.0;;3.0;72.0
MARILIA;352900;3.0;347.0;16.0;8.0;38.0
MATAO;352930;2.0;103.0;;3.0;
MOGI DAS CRUZES;353060;7.0;497.0;10.0;8.0;
OSASCO;353440;6.0;661.0;6.0;6.0;
PAULINIA;353650;1.0;70.0;;;
PIRACICABA;353870;6.0;222.0;3.0;27.0;77.0
PITANGUEIRAS;353950;1.0;9.0;;;
PRESIDENTE PRUDENTE;354140;8.0;418.0;11.0;2.0;
RIBEIRAO PRETO;354340;12.0;881.0;93.0;11.0;144.0
RIO CLARO;354390;2.0;141.0;;1.0;5.0
SANTA CRUZ DO RIO PARDO;354640;1.0;59.0;;;
SANTO ANDRE;354780;7.0;422.0;4.0;21.0;1.0
SANTOS;354850;1.0;565.0;7.0;1.0;30.0
SAO BERNARDO DO CAMPO;354870;2.0;632.0;21.0;6.0;9.0
SAO CAETANO DO SUL;354880;1.0;187.0;3.0;3.0;8.0
SAO CARLOS;354890;2.0;211.0;7.0;;
SAO JOAO DA BOA VISTA;354910;2.0;205.0;1.0;4.0;1.0
SAO JOSE DO RIO PARDO;354970;1.0;166.0;;;
SAO JOSE DO RIO PRETO;354980;16.0;817.0;29.0;31.0;113.0
SAO JOSE DOS CAMPOS;354990;2.0;424.0;4.0;12.0;19.0
SAO PAULO;355030;59.0;8246.0;213.0;134.0;503.0
SOROCABA;355220;3.0;651.0;5.0;18.0;553.0
SUMARE;355240;3.0;269.0;;9.0;48.0
TABOAO DA SERRA;355280;1.0;182.0;1.0;12.0;
TAUBATE;355410;1.0;41.0;7.0;4.0;123.0
TUPA;355500;1.0;188.0;;;
APUCARANA;410140;1.0;398.0;5.0;7.0;3.0
CAMPINA GRANDE DO SUL;410400;8.0;306.0;27.0;2.0;10.0
CAMPO LARGO;410420;1.0;590.0;1.0;4.0;99.0
CAMPO MOURAO;410430;2.0;130.0;;2.0;8.0
CASCAVEL;410480;2.0;203.0;3.0;2.0;
CURITIBA;410690;9.0;731.0;77.0;68.0;1272.0
FOZ DO IGUACU;410830;2.0;127.0;3.0;3.0;
FRANCISCO BELTRAO;410840;4.0;227.0;;10.0;43.0
LONDRINA;411370;17.0;645.0;30.0;13.0;102.0
MANDAGUARI;411420;3.0;16.0;;;
MEDIANEIRA;411580;1.0;41.0;;5.0;14.0
PALMAS;411760;1.0;111.0;;;
PATO BRANCO;411850;2.0;151.0;5.0;2.0;
PONTA GROSSA;411990;7.0;491.0;6.0;6.0;56.0
PRUDENTOPOLIS;412060;2.0;84.0;1.0;;
TOLEDO;412770;2.0;208.0;1.0;8.0;
ARARANGUA;420140;1.0;164.0;1.0;2.0;2.0
BLUMENAU;420240;4.0;281.0;19.0;16.0;213.0
CANOINHAS;420380;1.0;58.0;;;
CHAPECO;420420;1.0;275.0;11.0;3.0;171.0
CONCORDIA;420430;4.0;156.0;5.0;2.0;63.0
CRICIUMA;420460;1.0;325.0;3.0;2.0;66.0
FLORIANOPOLIS;420540;5.0;509.0;44.0;18.0;215.0
ICARA;420700;1.0;24.0;;6.0;37.0
ITAJAI;420820;2.0;391.0;2.0;5.0;211.0
JARAGUA DO SUL;420890;2.0;177.0;4.0;9.0;6.0
JOINVILLE;420910;7.0;837.0;20.0;8.0;223.0
LAGES;420930;1.0;331.0;12.0;;
PORTO UNIAO;421360;1.0;51.0;1.0;1.0;2.0
SANTO AMARO DA IMPERATRIZ;421570;4.0;1.0;;1.0;84.0
SAO JOSE;421660;5.0;297.0;3.0;1.0;73.0
VIDEIRA;421930;1.0;52.0;;1.0;
ALEGRETE;430040;1.0;196.0;;2.0;
CANOAS;430460;5.0;832.0;;12.0;354.0
CAXIAS DO SUL;430510;13.0;190.0;2.0;14.0;5.0
ERECHIM;430700;1.0;204.0;18.0;4.0;
GRAVATAI;430920;4.0;195.0;1.0;7.0;
IGREJINHA;431010;1.0;36.0;;;
LAJEADO;431140;1.0;89.0;4.0;2.0;13.0
MARAU;431180;1.0;23.0;;;
NOVO HAMBURGO;431340;1.0;272.0;2.0;;
PASSO FUNDO;431410;3.0;625.0;99.0;9.0;435.0
PELOTAS;431440;2.0;494.0;6.0;2.0;
PORTO ALEGRE;431490;28.0;2670.0;71.0;44.0;139.0
RIO GRANDE;431560;2.0;335.0;11.0;4.0;
RONDA ALTA;431610;1.0;20.0;;3.0;
SANTA CRUZ DO SUL;431680;3.0;159.0;2.0;7.0;45.0
SANTA MARIA;431690;3.0;184.0;;12.0;1.0
SANTO ANGELO;431750;2.0;139.0;;;3.0
SAO BORJA;431800;1.0;165.0;1.0;2.0;
SAO LEOPOLDO;431870;1.0;456.0;4.0;2.0;
TRES DE MAIO;432180;1.0;27.0;;1.0;
URUGUAIANA;432240;10.0;256.0;8.0;;3.0
AQUIDAUANA;500110;2.0;50.0;;1.0;
CAMPO GRANDE;500270;2.0;812.0;2.0;23.0;17.0
DOURADOS;500370;1.0;232.0;6.0;6.0;
CACERES;510250;1.0;123.0;1.0;2.0;
CUIABA;510340;2.0;553.0;2.0;11.0;6.0
RONDONOPOLIS;510760;1.0;288.0;3.0;7.0;
SINOP;510790;2.0;30.0;;;
ANAPOLIS;520110;2.0;543.0;2.0;2.0;66.0
GOIANIA;520870;5.0;1755.0;64.0;119.0;546.0
SENADOR CANEDO;522045;1.0;112.0;;;4.0
URUACU;522160;3.0;59.0;;5.0;
BRASILIA;530010;9.0;1111.0;51.0;71.0;17.0
ALTA FLORESTA D'OESTE;110001;;16.0;;;
ARIQUEMES;110002;;21.0;;;
CABIXI;110003;;2.0;;;
CACOAL;110004;;82.0;;3.0;3.0
CEREJEIRAS;110005;;13.0;;;
COLORADO DO OESTE;110006;;4.0;;;
COSTA MARQUES;110008;;6.0;;;
ESPIGAO D'OESTE;110009;;13.0;;;
GUAJARA-MIRIM;110010;;10.0;;;
JARU;110011;;4.0;1.0;;
JI-PARANA;110012;;210.0;3.0;;
MACHADINHO D'OESTE;110013;;9.0;;;
NOVA BRASILANDIA D'OESTE;110014;;17.0;;;
OURO PRETO DO OESTE;110015;;19.0;;;
PIMENTA BUENO;110018;;31.0;;;
PRESIDENTE MEDICI;110025;;4.0;;;
ROLIM DE MOURA;110028;;77.0;;;
VILHENA;110030;;140.0;3.0;2.0;
SAO MIGUEL DO GUAPORE;110032;;12.0;;;
NOVA MAMORE;110033;;6.0;;;
ALVORADA D'OESTE;110034;;11.0;;;
ALTO PARAISO;110040;;2.0;;;
NOVO HORIZONTE DO OESTE;110050;;8.0;;;
CAMPO NOVO DE RONDONIA;110070;;8.0;;;
MINISTRO ANDREAZZA;110120;;6.0;;;
MONTE NEGRO;110140;;11.0;;;
SAO FRANCISCO DO GUAPORE;110149;;12.0;;;
SERINGUEIRAS;110150;;1.0;;;
THEOBROMA;110160;;3.0;;;
BRASILEIA;120010;;27.0;;;
CRUZEIRO DO SUL;120020;;77.0;;2.0;
FEIJO;120030;;4.0;;;
PLACIDO DE CASTRO;120038;;1.0;;;
PORTO WALTER;120039;;1.0;;;
RIO BRANCO;120040;;322.0;10.0;18.0;1.0
SANTA ROSA DO PURUS;120043;;1.0;;;
SENA MADUREIRA;120050;;15.0;;;
TARAUACA;120060;;10.0;;;
XAPURI;120070;;3.0;1.0;;
ANAMA;130008;;2.0;;;
ANORI;130010;;2.0;;;
APUI;130014;;1.0;;;
AUTAZES;130030;;4.0;;;
BARCELOS;130040;;5.0;;;
BARREIRINHA;130050;;6.0;;;
BENJAMIN CONSTANT;130060;;1.0;;;
BOA VISTA DO RAMOS;130068;;1.0;;;
BOCA DO ACRE;130070;;9.0;;;
BORBA;130080;;8.0;;;
CARAUARI;130100;;2.0;;;
CAREIRO;130110;;1.0;;;
COARI;130120;;11.0;;1.0;
CODAJAS;130130;;5.0;;;
EIRUNEPE;130140;;3.0;;;
FONTE BOA;130160;;3.0;;;
HUMAITA;130170;;17.0;;;
IPIXUNA;130180;;3.0;;;
ITACOATIARA;130190;;39.0;;;
ITAMARATI;130195;;1.0;;;
ITAPIRANGA;130200;;5.0;;;
JURUA;130220;;3.0;;;
LABREA;130240;;5.0;;;
MANACAPURU;130250;;2.0;;1.0;
MANICORE;130270;;10.0;;;
MARAA;130280;;4.0;;;
MAUES;130290;;21.0;;;
NHAMUNDA;130300;;4.0;;;
NOVO ARIPUANA;130330;;3.0;;;
PARINTINS;130340;;24.0;;;
PRESIDENTE FIGUEIREDO;130353;;1.0;;;
SANTA ISABEL DO RIO NEGRO;130360;;1.0;;;
SANTO ANTONIO DO ICA;130370;;1.0;;1.0;
SAO GABRIEL DA CACHOEIRA;130380;;3.0;;;
SAO PAULO DE OLIVENCA;130390;;4.0;;;
SAO SEBASTIAO DO UATUMA;130395;;4.0;;;
TABATINGA;130406;;11.0;;;
TAPAUA;130410;;2.0;;;
TEFE;130420;;26.0;;;
URUCARA;130430;;2.0;;;
URUCURITUBA;130440;;1.0;;;
BOA VISTA;140010;;220.0;3.0;10.0;
CAROEBE;140023;;3.0;;;
RORAINOPOLIS;140047;;4.0;;2.0;
SAO JOAO DA BALIZA;140050;;6.0;;;
ABAETETUBA;150010;;127.0;;;
ABEL FIGUEIREDO;150013;;4.0;;;
ACARA;150020;;29.0;;;
AFUA;150030;;3.0;;;
AGUA AZUL DO NORTE;150034;;11.0;;;
ALENQUER;150040;;61.0;;;
ALMEIRIM;150050;;7.0;;;
ALTAMIRA;150060;;269.0;4.0;3.0;
ANAJAS;150070;;2.0;;;
ANAPU;150085;;2.0;;;
AUGUSTO CORREA;150090;;13.0;;;
AURORA DO PARA;150095;;10.0;;;
BAIAO;150120;;12.0;;;
BARCARENA;150130;;11.0;;2.0;
BELEM;150140;;1443.0;11.0;6.0;
BELTERRA;150145;;10.0;;;
BOM JESUS DO TOCANTINS;150157;;7.0;;;
BRAGANCA;150170;;153.0;;;
BRASIL NOVO;150172;;41.0;;;
BREJO GRANDE DO ARAGUAIA;150175;;1.0;;;
BREVES;150180;;85.0;1.0;1.0;
BUJARU;150190;;38.0;;;
CACHOEIRA DO ARARI;150200;;10.0;;;
CAMETA;150210;;145.0;;;
CANAA DOS CARAJAS;150215;;26.0;;;
CAPANEMA;150220;;108.0;;3.0;
CAPITAO POCO;150230;;54.0;;;
CASTANHAL;150240;;55.0;;2.0;
CONCEICAO DO ARAGUAIA;150270;;144.0;;;
CONCORDIA DO PARA;150275;;3.0;;;
CUMARU DO NORTE;150276;;1.0;;;
CURIONOPOLIS;150277;;37.0;;;
CURRALINHO;150280;;8.0;;;
CURUCA;150290;;29.0;;;
DOM ELISEU;150293;;63.0;;;
ELDORADO DOS CARAJAS;150295;;40.0;;;
FARO;150300;;1.0;;;
FLORESTA DO ARAGUAIA;150304;;13.0;;;
GOIANESIA DO PARA;150309;;5.0;;;
GURUPA;150310;;1.0;;;
IGARAPE-ACU;150320;;5.0;;;
IGARAPE-MIRI;150330;;24.0;;;
IPIXUNA DO PARA;150345;;41.0;;;
IRITUIA;150350;;23.0;;;
ITAITUBA;150360;;133.0;;2.0;
ITUPIRANGA;150370;;7.0;;;
JACAREACANGA;150375;;10.0;;;
JACUNDA;150380;;34.0;;14.0;
JURUTI;150390;;2.0;;;
LIMOEIRO DO AJURU;150400;;1.0;;;
MAE DO RIO;150405;;34.0;;;
MARACANA;150430;;4.0;;;
MEDICILANDIA;150445;;22.0;;;
MELGACO;150450;;2.0;;;
MOCAJUBA;150460;;19.0;;;
MOJU;150470;;17.0;;;
MONTE ALEGRE;150480;;27.0;;;
MUANA;150490;;13.0;;;
NOVO PROGRESSO;150503;;21.0;1.0;;
NOVO REPARTIMENTO;150506;;13.0;;;
OBIDOS;150510;;7.0;;;
OEIRAS DO PARA;150520;;1.0;;;
ORIXIMINA;150530;;36.0;;;
OUREM;150540;;5.0;;;
OURILANDIA DO NORTE;150543;;9.0;;;
PACAJA;150548;;15.0;;;
PALESTINA DO PARA;150549;;2.0;;;
PARAGOMINAS;150550;;31.0;;2.0;
PARAUAPEBAS;150553;;35.0;2.0;3.0;
PAU D'ARCO;150555;;2.0;;;
PICARRA;150563;;5.0;;;
PLACAS;150565;;17.0;;;
PONTA DE PEDRAS;150570;;2.0;;;
PORTEL;150580;;14.0;1.0;;
PORTO DE MOZ;150590;;18.0;;;
PRAINHA;150600;;10.0;;;
REDENCAO;150613;;139.0;;1.0;
RIO MARIA;150616;;23.0;;;
RONDON DO PARA;150618;;30.0;;;
RUROPOLIS;150619;;47.0;;;
SALINOPOLIS;150620;;15.0;;;
SALVATERRA;150630;;4.0;;;
SANTA IZABEL DO PARA;150650;;66.0;;;
SANTA MARIA DAS BARREIRAS;150658;;4.0;;;
SANTA MARIA DO PARA;150660;;29.0;;;
SANTANA DO ARAGUAIA;150670;;30.0;;;
SANTO ANTONIO DO TAUA;150700;;65.0;;;
SAO DOMINGOS DO ARAGUAIA;150715;;23.0;;;
SAO DOMINGOS DO CAPIM;150720;;6.0;;;
SAO FELIX DO XINGU;150730;;29.0;;;
SAO GERALDO DO ARAGUAIA;150745;;18.0;;;
SAO JOAO DE PIRABAS;150747;;5.0;;;
SAO JOAO DO ARAGUAIA;150750;;2.0;;;
SAO MIGUEL DO GUAMA;150760;;17.0;;;
SAO SEBASTIAO DA BOA VISTA;150770;;9.0;;;
SAPUCAIA;150775;;2.0;;;
SENADOR JOSE PORFIRIO;150780;;2.0;;;
SOURE;150790;;51.0;;;
TAILANDIA;150795;;17.0;;1.0;
TERRA SANTA;150797;;8.0;;;
TOME-ACU;150800;;16.0;;;
TRACUATEUA;150803;;6.0;;;
TRAIRAO;150805;;6.0;;;
TUCUMA;150808;;18.0;;;
TUCURUI;150810;;131.0;;1.0;
ULIANOPOLIS;150812;;13.0;;;
URUARA;150815;;27.0;;;
VIGIA;150820;;23.0;;;
VISEU;150830;;4.0;;;
VITORIA DO XINGU;150835;;3.0;;;
XINGUARA;150840;;3.0;;;
CALCOENE;160020;;6.0;;;
LARANJAL DO JARI;160027;;20.0;;;
PORTO GRANDE;160053;;2.0;;;
SANTANA;160060;;23.0;;;
ANANAS;170100;;3.0;1.0;;
ARAGUACEMA;170190;;7.0;;;
ARAGUACU;170200;;7.0;;;
ARAGUAINA;170210;;442.0;4.0;;
ARAPOEMA;170230;;18.0;;;
AUGUSTINOPOLIS;170255;;166.0;;;
COLINAS DO TOCANTINS;170550;;33.0;;;
CRISTALANDIA;170610;;6.0;;;
DIANOPOLIS;170700;;40.0;;;
DUERE;170730;;3.0;;;
FORMOSO DO ARAGUAIA;170820;;1.0;;;
GOIATINS;170900;;16.0;;;
GUARAI;170930;;26.0;;;
GURUPI;170950;;139.0;;;
ITACAJA;171050;;3.0;;;
MIRANORTE;171330;;10.0;;;
MONTE DO CARMO;171360;;2.0;;;
NAZARE;171430;;1.0;;;
PALMEIROPOLIS;171575;;1.0;;;
PARAISO DO TOCANTINS;171610;;23.0;;;
PARANA;171620;;2.0;;;
PEDRO AFONSO;171650;;41.0;;;
PEIXE;171660;;1.0;;;
PIUM;171750;;7.0;;;
PORTO NACIONAL;171820;;70.0;2.0;;
SILVANOPOLIS;172065;;2.0;;;
TAGUATINGA;172090;;28.0;;;
PALMAS;172100;;257.0;2.0;;
TOCANTINOPOLIS;172120;;42.0;;;
XAMBIOA;172210;;3.0;1.0;;
ACAILANDIA;210005;;54.0;2.0;1.0;
ALCANTARA;210020;;1.0;;;
ALDEIAS ALTAS;210030;;27.0;;;
ALTO ALEGRE DO PINDARE;210047;;9.0;;;
ALTO PARNAIBA;210050;;12.0;;;
AMARANTE DO MARANHAO;210060;;35.0;;;
ANAJATUBA;210070;;15.0;;;
ANAPURUS;210080;;19.0;;;
ARAIOSES;210090;;1.0;;;
ARAME;210095;;2.0;;;
AXIXA;210110;;19.0;;;
BACABAL;210120;;83.0;;;
BALSAS;210140;;276.0;;;
BARAO DE GRAJAU;210150;;3.0;;;
BARRA DO CORDA;210160;;128.0;;;
BARREIRINHAS;210170;;64.0;;;
BENEDITO LEITE;210180;;4.0;;;
BEQUIMAO;210190;;3.0;;;
BOM JARDIM;210200;;19.0;;;
BOM JESUS DAS SELVAS;210203;;6.0;;;
BREJO;210210;;11.0;;;
BURITI;210220;;48.0;;;
BURITI BRAVO;210230;;24.0;;;
BURITICUPU;210232;;46.0;;;
CAJAPIO;210240;;1.0;;;
CAJARI;210250;;1.0;;;
CANTANHEDE;210270;;28.0;;;
CAPINZAL DO NORTE;210275;;11.0;;;
CAROLINA;210280;;11.0;;;
CARUTAPERA;210290;;5.0;;;
CEDRAL;210310;;30.0;;;
CENTRAL DO MARANHAO;210312;;5.0;;;
CHAPADINHA;210320;;79.0;;4.0;
CODO;210330;;151.0;;;
COELHO NETO;210340;;42.0;;;
COLINAS;210350;;34.0;;;
COROATA;210360;;27.0;;;
CURURUPU;210370;;79.0;;;
DOM PEDRO;210380;;5.0;;;
DUQUE BACELAR;210390;;13.0;;;
ESPERANTINOPOLIS;210400;;30.0;;;
ESTREITO;210405;;31.0;;;
FEIRA NOVA DO MARANHAO;210407;;7.0;;;
FORMOSA DA SERRA NEGRA;210409;;22.0;;;
FORTALEZA DOS NOGUEIRAS;210410;;13.0;;;
FORTUNA;210420;;11.0;;;
GONCALVES DIAS;210440;;4.0;;;
GOVERNADOR ARCHER;210450;;3.0;;;
GOVERNADOR EUGENIO BARROS;210460;;13.0;;;
GOVERNADOR LUIZ ROCHA;210462;;22.0;;;
GOVERNADOR NUNES FREIRE;210467;;72.0;;;
GRACA ARANHA;210470;;4.0;;;
GRAJAU;210480;;105.0;;;
GUIMARAES;210490;;5.0;;;
HUMBERTO DE CAMPOS;210500;;1.0;;;
ICATU;210510;;2.0;;;
IGARAPE GRANDE;210520;;6.0;;;
IMPERATRIZ;210530;;448.0;1.0;3.0;
ITAIPAVA DO GRAJAU;210535;;1.0;;;
ITAPECURU MIRIM;210540;;21.0;;;
ITINGA DO MARANHAO;210542;;36.0;;;
JOAO LISBOA;210550;;2.0;;;
JOSELANDIA;210560;;1.0;;;
LAGO DA PEDRA;210570;;40.0;;;
LIMA CAMPOS;210600;;32.0;;;
LORETO;210610;;21.0;;;
MAGALHAES DE ALMEIDA;210630;;4.0;;;
MATA ROMA;210640;;12.0;;;
MATINHA;210650;;3.0;;;
MILAGRES DO MARANHAO;210667;;1.0;;;
MIRADOR;210670;;17.0;;;
MIRANDA DO NORTE;210675;;3.0;;;
MIRINZAL;210680;;13.0;;;
MONCAO;210690;;3.0;;;
MORROS;210710;;4.0;;;
NINA RODRIGUES;210720;;16.0;;;
NOVA COLINAS;210725;;4.0;;;
NOVA OLINDA DO MARANHAO;210735;;4.0;;;
OLHO D'AGUA DAS CUNHAS;210740;;44.0;;;
OLINDA NOVA DO MARANHAO;210745;;2.0;;;
PACO DO LUMIAR;210750;;13.0;;;
PALMEIRANDIA;210760;;9.0;;;
PARNARAMA;210780;;18.0;;;
PASSAGEM FRANCA;210790;;37.0;;;
PAULINO NEVES;210805;;3.0;;;
PAULO RAMOS;210810;;17.0;;;
PEDREIRAS;210820;;114.0;;;
PEDRO DO ROSARIO;210825;;16.0;;;
PENALVA;210830;;6.0;;;
PERI MIRIM;210840;;5.0;;;
PINDARE-MIRIM;210850;;7.0;;;
PINHEIRO;210860;;69.0;;1.0;
PIO XII;210870;;63.0;;;
PIRAPEMAS;210880;;1.0;;;
